,PLAYERS,NATIONALITY,TYPE,PRICE,TEAM
41,Shivalik Sharma,Indian,All-Rounder,2000000,MI
42,Anshul Kamboj,Indian,All-Rounder,2000000,MI
43,Mohammad Nabi,Overseas,All-Rounder,15000000,MI
44,Naman Dhir,Indian,All-Rounder,2000000,MI
45,Nuwan Thushara,Overseas,Bowler,48000000,MI
46,Gerald Coetzee,Overseas,All-Rounder,50000000,MI
47,Chris Woakes,Overseas,All-Rounder,42000000,PK
48,Tanay Thyagarajann,Indian,All-Rounder,2000000,PK
49,Vishwanath Pratap Singh,Indian,All-Rounder,2000000,PK
50,Ashutosh Sharma,Indian,All-Rounder,2000000,PK
51,Shashank Singh,Indian,Batter,2000000,PK
52,Rilee Rossouw,Overseas,Batter,80000000,PK
53,Prince Choudhary,Indian,Bowler,2000000,PK
54,Harshal Patel,Indian,All-Rounder,117500000,PK
55,Shubham Dubey,Indian,Batter,58000000,RR
56,Rovman Powell,Overseas,Batter,74000000,RR
57,Abid Mushtaq,Indian,All-Rounder,2000000,RR
58,Nandre Burger,Overseas,Bowler,5000000,RR
59,Tom Kohler-Cadmore,Overseas,Wicket-Keeper,4000000,RR
60,Lockie Ferguson,Overseas,Bowler,20000000,RCB
61,Tom Curran,Overseas,All-Rounder,15000000,RCB
62,Saurav Chuahan,Indian,Batter,2000000,RCB
63,Alzarri Joseph,Overseas,Bowler,115000000,RCB
64,Swapnil Singh,Indian,All-Rounder,2000000,RCB
65,Yash Dayal,Indian,Bowler,50000000,RCB
66,Jhathavedh Subramanyan,Indian,Bowler,2000000,SH
67,Akash Singh,Indian,Bowler,2000000,SH
68,Jaydev Unadkat,Indian,Bowler,16000000,SH
69,Wanindu Hasaranga,Overseas,All-Rounder,15000000,SH
70,Pat Cummins,Overseas,All-Rounder,205000000,SH
71,Travis Head,Overseas,Batter,68000000,SH
0,Priyansh Arya,Indian,Batter,2000000,Un-Sold
1,Rohan Kunnummal,Indian,Batter,2000000,Un-Sold
2,Manan Vohra,Indian,Batter,2000000,Un-Sold
3,Raj Angad Bawa,Indian,All-Rounder,2000000,Un-Sold
4,Sarfaraz Khan,Indian,All-Rounder,2000000,Un-Sold
5,Vivrant Sharma,Indian,All-Rounder,2000000,Un-Sold
6,Atit Sheth,Indian,All-Rounder,2000000,Un-Sold
7,Hrithik Shokeen,Indian,All-Rounder,2000000,Un-Sold
8,Urvil Patel,Indian,Wicket-Keeper,2000000,Un-Sold
9,Vishnu Solanki,Indian,Wicket-Keeper,2000000,Un-Sold
10,Ishan Porel,Indian,Bowler,2000000,Un-Sold
11,Kuldip Yadav,Indian,Bowler,2000000,Un-Sold
12,Murgan Ashwin,Indian,Bowler,2000000,Un-Sold
13,Pulkit Narang,Indian,Bowler,2000000,Un-Sold
14,Shiva Singh,Indian,Bowler,2000000,Un-Sold
15,Dinesh Bana,Indian,Batter,2000000,Un-Sold
16,Rajat Dey,Indian,Batter,2000000,Un-Sold
17,Abhimanyu Easwaran,Indian,Batter,2000000,Un-Sold
18,Rithik Easwaran,Indian,Batter,2000000,Un-Sold
19,Chirag Gandhi,Indian,Batter,2000000,Un-Sold
20,Nikhil Gangta,Indian,Batter,2000000,Un-Sold
21,Sudip Gharami,Indian,Batter,2000000,Un-Sold
22,Ansh Gosai,Indian,Batter,2000000,Un-Sold
23,Azim Kazi,Indian,Batter,2000000,Un-Sold
24,Amandeep Khare,Indian,Batter,2000000,Un-Sold
25,Ankit Kumar,Indian,Batter,2000000,Un-Sold
26,Bhupen Lalwani,Indian,Batter,2000000,Un-Sold
27,Pukhraj Mann,Indian,Batter,2000000,Un-Sold
28,Tanmay Mishra,Indian,Batter,2000000,Un-Sold
29,Salman Nizar,Indian,Batter,2000000,Un-Sold
30,Priyank Panchal,Indian,Batter,2000000,Un-Sold
31,Akshat Raghuwanshi,Indian,Batter,2000000,Un-Sold
32,Ekant Sen,Indian,Batter,2000000,Un-Sold
33,Subhranshu Senapati,Indian,Batter,2000000,Un-Sold
34,Naushad Shaikh,Indian,Batter,2000000,Un-Sold
35,Dhruv Shorey,Indian,Batter,2000000,Un-Sold
36,Himmat Singh,Indian,Batter,2000000,Un-Sold
37,Virat Singh,Indian,Batter,2000000,Un-Sold
38,Sumeet Verma,Indian,Batter,2000000,Un-Sold
39,P.A. Abdul,Indian,All-Rounder,2000000,Un-Sold
40,Murugan Abhishek,Indian,All-Rounder,2000000,Un-Sold
41,Atharva Ankolekar,Indian,All-Rounder,2000000,Un-Sold
42,Baba Aparajith,Indian,All-Rounder,2000000,Un-Sold
43,Jass Inder Baidwan,Indian,All-Rounder,2000000,Un-Sold
44,Rahul Buddhi,Indian,All-Rounder,2000000,Un-Sold
45,Vaisakh Chandran,Indian,All-Rounder,2000000,Un-Sold
46,Writtick Chatterjee,Indian,All-Rounder,2000000,Un-Sold
47,Raj Chaudhary,Indian,All-Rounder,2000000,Un-Sold
48,Ravi Chauhan,Indian,All-Rounder,2000000,Un-Sold
49,Ashwin Das,Indian,All-Rounder,2000000,Un-Sold
50,Aarya Desai,Indian,All-Rounder,2000000,Un-Sold
51,Vineet Dhankhar,Indian,All-Rounder,2000000,Un-Sold
52,Harsh Dubey,Indian,All-Rounder,2000000,Un-Sold
53,Prerit Dutta,Indian,All-Rounder,2000000,Un-Sold
54,Shubhang Hegde,Indian,All-Rounder,2000000,Un-Sold
55,Saransh Jain,Indian,All-Rounder,2000000,Un-Sold
56,Mohammad Kaif,Indian,All-Rounder,2000000,Un-Sold
57,Aman Khan,Indian,All-Rounder,2000000,Un-Sold
58,Mohd Arslan Khan,Indian,All-Rounder,2000000,Un-Sold
59,Musheer Khan,Indian,All-Rounder,2000000,Un-Sold
60,Tanush Kotian,Indian,All-Rounder,2000000,Un-Sold
61,Manvanth Kumar,Indian,All-Rounder,2000000,Un-Sold
62,Saurabh Kumar,Indian,All-Rounder,2000000,Un-Sold
63,Dev Lakra,Indian,All-Rounder,2000000,Un-Sold
64,Nasir Lone,Indian,All-Rounder,2000000,Un-Sold
65,Kaushik Maity,Indian,All-Rounder,2000000,Un-Sold
66,Divij Mehra,Indian,All-Rounder,2000000,Un-Sold
67,Mani Sankar Mura Singh,Indian,All-Rounder,2000000,Un-Sold
68,Sanjay Pahal,Indian,All-Rounder,2000000,Un-Sold
69,Jitender Pal,Indian,All-Rounder,2000000,Un-Sold
70,Saumy Pandey,Indian,All-Rounder,2000000,Un-Sold
71,Ansh Patel,Indian,All-Rounder,2000000,Un-Sold
72,Sairaj Patil,Indian,All-Rounder,2000000,Un-Sold
73,Pradosh Paul,Indian,All-Rounder,2000000,Un-Sold
74,Shubham Singh Pundir,Indian,All-Rounder,2000000,Un-Sold
75,Atal Rai,Indian,All-Rounder,2000000,Un-Sold
76,Abhimanyusingh Rajput,Indian,All-Rounder,2000000,Un-Sold
77,Mohit Rathee,Indian,All-Rounder,2000000,Un-Sold
78,Ninad Rathva,Indian,All-Rounder,2000000,Un-Sold
79,Rohit Rayudu,Indian,All-Rounder,2000000,Un-Sold
80,Aniketh Reddy,Indian,All-Rounder,2000000,Un-Sold
81,Mohit Redkar,Indian,All-Rounder,2000000,Un-Sold
82,Akash Sengupta,Indian,All-Rounder,2000000,Un-Sold
83,Suryansh Shedge,Indian,All-Rounder,2000000,Un-Sold
84,Aradhya Shukla,Indian,All-Rounder,2000000,Un-Sold
85,Utkarsh Singh,Indian,All-Rounder,2000000,Un-Sold
86,Shashank Singh,Indian,All-Rounder,2000000,Un-Sold
87,Ravi Teja,Indian,All-Rounder,2000000,Un-Sold
88,Akash Vashisht,Indian,All-Rounder,2000000,Un-Sold
89,Mohit Ahlawat,Indian,Wicket-Keeper,2000000,Un-Sold
90,G. Ajitesh,Indian,Wicket-Keeper,2000000,Un-Sold
91,L.R. Chethan,Indian,Wicket-Keeper,2000000,Un-Sold
92,Gourav Choudhary,Indian,Wicket-Keeper,2000000,Un-Sold
93,Harvik Desai,Indian,Wicket-Keeper,2000000,Un-Sold
94,Shakir Gandhi,Indian,Wicket-Keeper,2000000,Un-Sold
95,Sumit Ghadigaonkar,Indian,Wicket-Keeper,2000000,Un-Sold
96,Baba Indrajith,Indian,Wicket-Keeper,2000000,Un-Sold
97,Bhagmender Lather,Indian,Wicket-Keeper,2000000,Un-Sold
98,Anmol Malhotra,Indian,Wicket-Keeper,2000000,Un-Sold
99,Darshan Misal,Indian,Wicket-Keeper,2000000,Un-Sold
100,Nikhil Naik,Indian,Wicket-Keeper,2000000,Un-Sold
101,Prasad Pawar,Indian,Wicket-Keeper,2000000,Un-Sold
102,Mahesh Pithiya,Indian,Wicket-Keeper,2000000,Un-Sold
103,Bipin Saurabh,Indian,Wicket-Keeper,2000000,Un-Sold
104,B.R. Sharath,Indian,Wicket-Keeper,2000000,Un-Sold
105,K.L. Shrijith,Indian,Wicket-Keeper,2000000,Un-Sold
106,Avneesh Sudha,Indian,Wicket-Keeper,2000000,Un-Sold
107,Aditya Tare,Indian,Wicket-Keeper,2000000,Un-Sold
108,Nihal Ullal,Indian,Wicket-Keeper,2000000,Un-Sold
109,K.M Asif,Indian,Bowler,2000000,Un-Sold
110,Mohit Avasthi,Indian,Bowler,2000000,Un-Sold
111,Basit Bashir,Indian,Bowler,2000000,Un-Sold
112,Waseem Bashir,Indian,Bowler,2000000,Un-Sold
113,Sachin Bhosale,Indian,Bowler,2000000,Un-Sold
114,Devendra Singh Bora,Indian,Bowler,2000000,Un-Sold
115,Gurnoor Singh Brar,Indian,Bowler,2000000,Un-Sold
116,Saurabh Dubey,Indian,Bowler,2000000,Un-Sold
117,Mrinmoy Dutta,Indian,Bowler,2000000,Un-Sold
118,Vishal Godara,Indian,Bowler,2000000,Un-Sold
119,Money Grewal,Indian,Bowler,2000000,Un-Sold
120,Arpit Guleria,Indian,Bowler,2000000,Un-Sold
121,Mukhtar Hussain,Indian,Bowler,2000000,Un-Sold
122,Mohammed Kaif,Indian,Bowler,2000000,Un-Sold
123,Shubham Kapse,Indian,Bowler,2000000,Un-Sold
124,Devang Karamta,Indian,Bowler,2000000,Un-Sold
125,Kulwant Khejroliya,Indian,Bowler,2000000,Un-Sold
126,Ravi Kumar,Indian,Bowler,2000000,Un-Sold
127,Ashwani Kumar,Indian,Bowler,2000000,Un-Sold
128,Raj Limbani,Indian,Bowler,2000000,Un-Sold
129,Lukman Hussain Meriwala,Indian,Bowler,2000000,Un-Sold
130,Venkatesh Muralidhara,Indian,Bowler,2000000,Un-Sold
131,Rakshan Readdi,Indian,Bowler,2000000,Un-Sold
132,Manish Reddy,Indian,Bowler,2000000,Un-Sold
133,Monish Reddy,Indian,Bowler,2000000,Un-Sold
134,Akhin Sathar,Indian,Bowler,2000000,Un-Sold
135,Divesh Sharma,Indian,Bowler,2000000,Un-Sold
136,Ashok Sharma,Indian,Bowler,2000000,Un-Sold
137,Abhilash Shetty,Indian,Bowler,2000000,Un-Sold
138,Rahul Shukla,Indian,Bowler,2000000,Un-Sold
139,Manit Singh,Indian,Bowler,2000000,Un-Sold
140,Gurjapneet Singh,Indian,Bowler,2000000,Un-Sold
141,Nitin Verma,Indian,Bowler,2000000,Un-Sold
142,Gourav Yadav,Indian,Bowler,2000000,Un-Sold
143,Prithvi Raj Yarra,Indian,Bowler,2000000,Un-Sold
144,Mujtaba Yousuf,Indian,Bowler,2000000,Un-Sold
145,Shubham Agrawal,Indian,Bowler,2000000,Un-Sold
146,Mustaq Beg,Indian,Bowler,2000000,Un-Sold
147,K.C Cariappa,Indian,Bowler,2000000,Un-Sold
148,Ganesh Chaudhary,Indian,Bowler,2000000,Un-Sold
149,Yuvraj Chudasama,Indian,Bowler,2000000,Un-Sold
150,Jasmer Dhankhar,Indian,Bowler,2000000,Un-Sold
151,Chintal Gandhi,Indian,Bowler,2000000,Un-Sold
152,Raghav Goyal,Indian,Bowler,2000000,Un-Sold
153,Shreyas Gurav,Indian,Bowler,2000000,Un-Sold
154,Vishu Kashyap,Indian,Bowler,2000000,Un-Sold
155,Bhuwan Rohilla,Indian,Bowler,2000000,Un-Sold
156,Shivam Sharma,Indian,Bowler,2000000,Un-Sold
157,Digvesh Singh,Indian,Bowler,2000000,Un-Sold
158,Jagadeesha Suchith,Indian,Bowler,2000000,Un-Sold
159,B. Surya,Indian,Bowler,2000000,Un-Sold
160,Pankaj Yadav,Indian,Bowler,2000000,Un-Sold
161,Sahil Dhiwan,Indian,All-Rounder,2000000,Un-Sold
162,Kaushal Tambe,Indian,All-Rounder,2000000,Un-Sold
163,Jake Fraser-Mcgurk,Overseas,All-Rounder,2000000,Un-Sold
164,Duan Jansen,Overseas,All-Rounder,2000000,Un-Sold
165,Prenelan Subrayen,Overseas,All-Rounder,2000000,Un-Sold
166,William Salzmann,Overseas,Wicket-Keeper,2000000,Un-Sold
167,Ottneil Baartman,Overseas,Bowler,2000000,Un-Sold
168,Shamar Joseph,Overseas,Bowler,2000000,Un-Sold
169,Kwena Maphaka,Overseas,Bowler,2000000,Un-Sold
170,William O'Rourke,Overseas,Bowler,2000000,Un-Sold
171,Paul Van Meekeren,Overseas,Bowler,2000000,Un-Sold
172,Chris Wood,Overseas,Bowler,2000000,Un-Sold
173,Allah Ghazanfar,Overseas,Bowler,2000000,Un-Sold
174,Steve Smith,Overseas,Batter,20000000,Un-Sold
175,Josh Inglis,Overseas,Wicket-Keeper,20000000,Un-Sold
176,Josh Hazlewood,Overseas,Bowler,20000000,Un-Sold
177,Adil Rashid,Overseas,Bowler,20000000,Un-Sold
178,Rassie Van Der Dussen,Overseas,Batter,20000000,Un-Sold
179,James Vince,Overseas,Batter,20000000,Un-Sold
180,Sean Abbott,Overseas,All-Rounder,20000000,Un-Sold
181,Jamie Overton,Overseas,All-Rounder,20000000,Un-Sold
182,Ben Duckett,Overseas,Wicket-Keeper,20000000,Un-Sold
183,Philip Salt,Overseas,Wicket-Keeper,15000000,Un-Sold
184,Colin Munro,Overseas,Batter,15000000,Un-Sold
185,Jason Holder,Overseas,All-Rounder,15000000,Un-Sold
186,James Neesham,Overseas,All-Rounder,15000000,Un-Sold
187,Daniel Sams,Overseas,All-Rounder,15000000,Un-Sold
188,Chris Jordan,Overseas,Bowler,15000000,Un-Sold
189,Tymal Mills,Overseas,Bowler,15000000,Un-Sold
190,Tim Southee,Overseas,Bowler,15000000,Un-Sold
191,Ashton Agar,Overseas,All-Rounder,10000000,Un-Sold
192,Michael Bracewell,Overseas,All-Rounder,10000000,Un-Sold
193,Dwaine Pretorius,Overseas,All-Rounder,10000000,Un-Sold
194,Sam Billings,Overseas,Wicket-Keeper,10000000,Un-Sold
195,Kyle Jamieson,Overseas,Bowler,10000000,Un-Sold
196,Riley Meredith,Overseas,Bowler,10000000,Un-Sold
197,Adam Milne,Overseas,Bowler,10000000,Un-Sold
198,Wayne Parnell,Overseas,Bowler,10000000,Un-Sold
199,David Wiese,Overseas,All-Rounder,10000000,Un-Sold
200,Ish Sodhi,Overseas,Bowler,7500000,Un-Sold
201,Finn Allen,Overseas,Batter,7500000,Un-Sold
202,Fabian Allen,Overseas,All-Rounder,7500000,Un-Sold
203,Keemo Paul,Overseas,All-Rounder,7500000,Un-Sold
204,Matt Henry,Overseas,Bowler,7500000,Un-Sold
205,Lance Morris,Overseas,Bowler,7500000,Un-Sold
206,Ollie Robinson,Overseas,Bowler,7500000,Un-Sold
207,Billy Stanlake,Overseas,Bowler,7500000,Un-Sold
208,Olly Stone,Overseas,Bowler,7500000,Un-Sold
209,Karun Nair,Indian,Batter,5000000,Un-Sold
210,Kusal Mendis,Overseas,Wicket-Keeper,5000000,Un-Sold
211,Akeal Hosein,Overseas,Bowler,5000000,Un-Sold
212,Mohammad Waqar Salamkheil,Overseas,Bowler,5000000,Un-Sold
213,Tabraiz Shamsi,Overseas,Bowler,5000000,Un-Sold
214,Alick Athanaze,Overseas,Batter,5000000,Un-Sold
215,Mark Chapman,Overseas,Batter,5000000,Un-Sold
216,Samuel Hain,Overseas,Batter,5000000,Un-Sold
217,Reeza Hendricks,Overseas,Batter,5000000,Un-Sold
218,Brandon King,Overseas,Batter,5000000,Un-Sold
219,Ibrahim Zadran,Overseas,Batter,5000000,Un-Sold
220,Najibullah Zadran,Overseas,Batter,5000000,Un-Sold
221,Wesley Agar,Overseas,All-Rounder,5000000,Un-Sold
222,Qais Ahamad,Overseas,All-Rounder,5000000,Un-Sold
223,Charith Asalanka,Overseas,All-Rounder,5000000,Un-Sold
224,Brydon Carse,Overseas,All-Rounder,5000000,Un-Sold
225,Ben Cutting,Overseas,All-Rounder,5000000,Un-Sold
226,Matthew Forde,Overseas,All-Rounder,5000000,Un-Sold
227,George Garton,Overseas,All-Rounder,5000000,Un-Sold
228,George Linde,Overseas,All-Rounder,5000000,Un-Sold
229,Keshav Maharaj,Overseas,All-Rounder,5000000,Un-Sold
230,Wiaan Mulder,Overseas,All-Rounder,5000000,Un-Sold
231,Dasun Shanaka,Overseas,All-Rounder,5000000,Un-Sold
232,Matthew Short,Overseas,All-Rounder,5000000,Un-Sold
233,Odean Smith,Overseas,All-Rounder,5000000,Un-Sold
234,Hanuma Vihari,Indian,All-Rounder,5000000,Un-Sold
235,Johnson Charles,Overseas,Wicket-Keeper,5000000,Un-Sold
236,Varun Aaron,Indian,Bowler,5000000,Un-Sold
237,Fareed Ahmad,Overseas,Bowler,5000000,Un-Sold
238,Dushmanta Chameera,Overseas,Bowler,5000000,Un-Sold
239,Ben Dwarshuis,Overseas,Bowler,5000000,Un-Sold
240,Richard Gleeson,Overseas,Bowler,5000000,Un-Sold
241,Siddharth Kaul,Indian,Bowler,5000000,Un-Sold
242,Lahiru Kumara,Overseas,Bowler,5000000,Un-Sold
243,Obed Mccoy,Overseas,Bowler,5000000,Un-Sold
244,Blessing Muzarabani,Overseas,Bowler,5000000,Un-Sold
245,Richard Ngarava,Overseas,Bowler,5000000,Un-Sold
246,George Scrimshaw,Overseas,Bowler,5000000,Un-Sold
247,Barinder Sran,Indian,Bowler,5000000,Un-Sold
248,Oshane Thomas,Overseas,Bowler,5000000,Un-Sold
249,Sandeep Warrier,Indian,Bowler,5000000,Un-Sold
250,Lizaad Williams,Overseas,Bowler,5000000,Un-Sold
251,Luke Wood,Overseas,Bowler,5000000,Un-Sold
252,Benny Howell,Overseas,All-Rounder,4000000,Un-Sold
253,Jalaj Saxena,Indian,All-Rounder,4000000,Un-Sold
254,Corbin Bosch,Overseas,All-Rounder,3000000,Un-Sold
255,Kamlesh Nagarkoti,Indian,All-Rounder,3000000,Un-Sold
256,Basil Thampi,Indian,Bowler,3000000,Un-Sold
257,Lalit Yadav,Indian,Bowler,3000000,Un-Sold
258,S Midhun,Indian,Bowler,3000000,Un-Sold
259,Izharulhuq Naveed,Overseas,Bowler,3000000,Un-Sold
0,Mitchell Starc,Overseas,Bowler," 24,75,00,000",KKR
1,Pat Cummins,Overseas,All-Rounder," 20,50,00,000",SH
2,Daryl Mitchell,Overseas,All-Rounder," 14,00,00,000",CSK
3,Harshal Patel,Indian,All-Rounder," 11,75,00,000",PK
4,Alzarri Joseph,Overseas,Bowler," 11,50,00,000",RCB
5,Spencer Johnson,Overseas,Bowler," 10,00,00,000",GT
6,Sameer Rizvi,Indian,Batter," 8,40,00,000",CSK
7,Rilee Rossouw,Overseas,Batter," 8,00,00,000",PK
8,Shahrukh Khan,Overseas,All-Rounder," 7,40,00,000",GT
9,Rovman Powell,Indian,Batter," 7,40,00,000",RR
